
197,University of Duisburg-EssenGermanyExplore,"41,002",53.0,12%,49 : 51
=198,Brandeis UniversityUnited States,"5,532",13.1,23%,55 : 45
=198,Tilburg UniversityNetherlands,"7,454",22.4,13%,49 : 51
200,University of Illinois at ChicagoUnited States,"24,459",11.6,18%,53 : 47
201—250,Aalborg UniversityDenmarkExplore,"19,286",17.4,15%,48 : 52
201—250,Aalto UniversityFinland,"12,653",20.1,20%,34 : 66
201—250,University of AntwerpBelgium,"16,445",35.8,15%,54 : 46
201—250,University of BarcelonaSpainExplore,"47,569",12.5,10%,61 : 39
201—250,University of BergenNorway,"11,949",11.5,13%,59 : 41
201—250,"Birkbeck, University of LondonUnited Kingdom","9,690",19.5,38%,54 : 46
201—250,University of BolognaItaly,"84,486",22.3,7%,56 : 44
201—250,Boston CollegeUnited States,"12,932",16.5,19%,55 : 45
201—250,CentraleSupélecFrance,"4,130",11.4,32%,22 : 78
201—250,University of CincinnatiUnited States,"27,712",21.9,8%,52 : 48
201—250,University College DublinIrelandExplore,"21,438",22.7,25%,n/a
201—250,University of DelawareUnited States,"19,426",16.2,10%,56 : 44
201—250,ESPCI ParisTechFrance,481,6.3,14%,38 : 62
201—250,Florida State UniversityUnited States,"41,737",30.2,7%,55 : 45
201—250,George Washington UniversityUnited States,"21,409",12.4,15%,57 : 43
201—250,Goethe University FrankfurtGermany,"45,453",13.1,15%,58 : 42
201—250,University of Hawai’i at MānoaUnited States,"16,580",10.9,13%,56 : 44
201—250,University of IcelandIceland,"13,373",24.0,8%,66 : 34
201—250,Indian Institute of ScienceIndia,"3,398",8.3,1%,20 : 80
201—250,University of IowaUnited States,"27,807",11.6,12%,52 : 48
201—250,University of KielGermany,"24,701",23.3,8%,54 : 46
201—250,King Abdulaziz UniversitySaudi ArabiaExplore,"37,178",8.3,21%,55 : 45
201—250,Korea UniversitySouth KoreaExplore,"22,739",15.5,16%,42 : 58
201—250,Université Libre de BruxellesBelgium,"23,712",35.0,32%,54 : 46
201—250,Nanjing UniversityChina,"34,784",15.7,9%,42 : 58
201—250,"National University of Ireland, GalwayIreland","13,911",26.1,16%,56 : 44
201—250,University of NewcastleAustraliaExplore,"23,838",22.7,18%,56 : 44
201—250,North Carolina State UniversityUnited States,"30,187",13.1,12%,45 : 55
201—250,University of OtagoNew ZealandExplore,"18,567",20.2,20%,57 : 43
201—250,University of OuluFinland,"10,089",23.5,7%,50 : 50
201—250,Paris Descartes UniversityFrance,"32,978",24.4,15%,63 : 37
201—250,Paris Diderot University – Paris 7France,"27,836",14.8,17%,63 : 37
201—250,Polytechnic University of MilanItaly,"33,486",25.3,13%,35 : 65
201—250,Queensland University of TechnologyAustraliaExplore,"34,398",36.3,17%,54 : 46
201—250,Queen’s UniversityCanadaExplore,"21,015",22.6,11%,58 : 42
201—250,Queen’s University BelfastUnited KingdomExplore,"17,348",16.1,32%,55 : 45
201—250,Royal College of Surgeons in IrelandIrelandExplore,"2,184",18.2,62%,n/a
201—250,Shanghai Jiao Tong UniversityChina,"36,535",12.3,6%,41 : 59
201—250,Simon Fraser UniversityCanada,"26,607",28.3,29%,55 : 45
201—250,University of South FloridaUnited States,"32,016",19.0,11%,n/a
201—250,"St George’s, University of LondonUnited Kingdom","3,077",14.5,16%,62 : 38
201—250,Stony Brook UniversityUnited States,"22,867",10.9,24%,49 : 51
201—250,University of StuttgartGermany,"15,721",30.3,14%,30 : 70
201—250,"University of Technology, SydneyAustralia","25,069",44.0,35%,52 : 48
201—250,Technical University of DarmstadtGermany,"20,719",51.9,18%,28 : 72
201—250,Tel Aviv UniversityIsrael,"23,663",24.0,4%,n/a
201—250,University of Texas at DallasUnited StatesExplore,"17,825",25.0,25%,44 : 56
201—250,Tohoku UniversityJapan,"17,349",5.4,9%,26 : 74
201—250,University of TrentoItaly,"17,118",28.2,9%,52 : 48
201—250,University of UtahUnited States,"30,193",14.8,10%,45 : 55
201—250,Wake Forest UniversityUnited States,"7,451",4.5,5%,50 : 50
201—250,Western UniversityCanada,"28,060",21.6,16%,55 : 45
201—250,Zhejiang UniversityChinaExplore,"47,845",15.2,5%,41 : 59
201—250,École Normale Supérieure de LyonFrance,"2,238",8.4,15%,46 : 54
251—300,University of BathUnited Kingdom,"11,765",16.5,30%,45 : 55
251—300,University of BayreuthGermany,"12,709",37.8,7%,46 : 54
251—300,Bielefeld UniversityGermanyExplore,"22,279",69.6,8%,57 : 43
251—300,University at BuffaloUnited States,"26,418",18.8,21%,46 : 54
251—300,Chalmers University of TechnologySweden,"8,819",11.9,15%,31 : 69
251—300,Charles Darwin UniversityAustralia,"6,096",21.3,25%,66 : 34
251—300,Colorado School of MinesUnited States,"5,437",17.7,11%,27 : 73
251—300,Copenhagen Business SchoolDenmark,"19,154",42.9,21%,48 : 52
251—300,Dalhousie UniversityCanada,"15,293",14.9,19%,55 : 45
251—300,Deakin UniversityAustraliaExplore,"34,968",31.1,17%,59 : 41
251—300,Free University of Bozen-BolzanoItaly,"2,813",4.1,16%,67 : 33
251—300,University of FribourgSwitzerland,"10,701",46.2,18%,58 : 42
251—300,Griffith UniversityAustraliaExplore,"31,031",22.3,20%,56 : 44
251—300,University of HohenheimGermany,"9,524",42.1,13%,57 : 43
251—300,James Cook UniversityAustraliaExplore,"12,004",22.9,13%,63 : 37
251—300,Johannes Gutenberg University of MainzGermany,"35,215",31.5,10%,58 : 42
251—300,Koç UniversityTurkeyExplore,"4,793",14.6,9%,52 : 48
251—300,Laval UniversityCanada,"28,757",16.9,12%,57 : 43
251—300,Macquarie UniversityAustraliaExplore,"27,532",32.8,24%,55 : 45
251—300,University of MarburgGermany,"26,085",39.0,9%,56 : 44
251—300,Mines ParisTechFrance,"1,289",5.5,26%,29 : 71
251—300,National Tsing Hua UniversityTaiwan,"10,260",13.6,6%,33 : 67
251—300,Norwegian University of Science and TechnologyNorway,"22,031",18.3,11%,48 : 52
251—300,Oregon Health and Science UniversityUnited States,"2,861",1.1,2%,65 : 35
251—300,Osaka UniversityJapan,"23,087",7.6,9%,30 : 70
251—300,University of OttawaCanada,"34,946",25.3,15%,60 : 40
251—300,Rensselaer Polytechnic InstituteUnited States,"6,829",15.5,17%,31 : 69
251—300,Ruhr University BochumGermany,"42,718",61.2,13%,49 : 51
251—300,Rush UniversityUnited States,"1,987",2.2,3%,71 : 29
251—300,Sapienza University of RomeItaly,"115,327",31.8,7%,59 : 41
251—300,University of South AustraliaAustraliaExplore,"19,996",29.6,33%,57 : 43
251—300,University of Southern DenmarkDenmark,"25,313",13.5,16%,53 : 47
251—300,University of SurreyUnited KingdomExplore,"10,377",13.3,38%,54 : 46
251—300,Swedish University of Agricultural SciencesSweden,"3,838",4.6,%,68 : 32
251—300,Syracuse UniversityUnited States,"19,930",16.1,17%,54 : 46
251—300,University of São PauloBrazil,"83,201",14.7,4%,48 : 52
251—300,University of TampereFinlandExplore,"9,530",21.7,5%,66 : 34
251—300,"University of Tennessee, KnoxvilleUnited States","26,988",17.8,4%,n/a
251—300,Tokyo Institute of TechnologyJapanExplore,"9,587",7.4,13%,13 : 87
251—300,Umeå UniversitySweden,"16,698",11.7,10%,60 : 40
251—300,Vienna University of TechnologyAustria,"17,620",35.8,27%,29 : 71
251—300,Virginia Polytechnic Institute and State UniversityUnited States,"30,850",18.1,10%,42 : 58
251—300,William & MaryUnited States,"7,963",11.9,8%,55 : 45
251—300,University of WollongongAustralia,"16,581",25.5,24%,50 : 50
251—300,Yonsei UniversitySouth Korea,"22,469",11.9,20%,n/a
301—350,Aberystwyth UniversityUnited Kingdom,"8,735",17.1,18%,47 : 53
301—350,Aix-Marseille UniversityFrance,"74,345",19.6,13%,60 : 40
301—350,University of Alaska FairbanksUnited States,"3,875",8.4,7%,52 : 48
301—350,Anglia Ruskin UniversityUnited Kingdom,"16,740",24.5,25%,61 : 39
301—350,Bangor UniversityUnited Kingdom,"9,162",18.3,21%,55 : 45
301—350,University of BordeauxFranceExplore,"52,169",19.5,12%,58 : 42
301—350,University of BremenGermany,"18,904",34.8,11%,50 : 50
301—350,Brunel University LondonUnited Kingdom,"11,646",16.4,39%,46 : 54
301—350,Central European UniversityHungary,"1,298",5.8,77%,51 : 49
301—350,Clark UniversityUnited States,"3,239",11.7,25%,57 : 43
301—350,Colorado State UniversityUnited States,"23,998",16.4,5%,53 : 47
301—350,University of ConnecticutUnited States,"26,109",12.6,7%,51 : 49
301—350,University of CreteGreece,"14,518",26.7,4%,62 : 38
301—350,University of DenverUnited States,"9,568",13.3,10%,57 : 43
301—350,University of EssexUnited Kingdom,"10,154",18.3,44%,54 : 46
301—350,Federal University of Toulouse Midi-PyrénéesFrance,"93,250",23.3,19%,54 : 46
301—350,George Mason UniversityUnited States,"27,337",17.4,8%,54 : 46
301—350,University of GeorgiaUnited States,"33,241",19.5,7%,57 : 43
301—350,"Goldsmiths, University of LondonUnited Kingdom","7,257",16.5,38%,67 : 33
301—350,Grenoble Alpes UniversityFrance,"37,815",16.3,15%,53 : 47
301—350,Gwangju Institute of Science and TechnologySouth Korea,"1,575",10.7,7%,23 : 77
301—350,University of InnsbruckAustria,"14,360",13.3,38%,54 : 46
301—350,Justus Liebig University GiessenGermany,"27,980",46.9,9%,61 : 39
301—350,University of KentUnited KingdomExplore,"17,080",13.2,29%,53 : 47
301—350,Linköping UniversitySweden,"18,966",8.2,11%,51 : 49
301—350,University of LiègeBelgium,"21,611",27.9,23%,54 : 46
301—350,Loughborough UniversityUnited Kingdom,"13,677",14.9,22%,38 : 62
301—350,University of MilanItaly,"58,990",27.6,5%,59 : 41
301—350,Moscow Institute of Physics and TechnologyRussian Federation,"5,535",7.8,12%,n/a
301—350,Nagoya UniversityJapan,"15,619",8.0,10%,29 : 71
301—350,University of NavarraSpain,"10,584",14.1,16%,52 : 48
301—350,University of Nebraska-LincolnUnited StatesExplore,"22,068",16.2,10%,47 : 53
301—350,University of OregonUnited States,"24,268",19.8,13%,52 : 48
