rank,name,fte_students,students_per_staff,international_students,ratio,overall,teaching,research,citations,industry_income,international_outlook
109,University of SheffieldUnited Kingdom,23961,15.3,33%,50 : 50,59.1,42.3,47.6,82.7,44.7,83.1
110,University of BernSwitzerland,14651,23.3,14%,55 : 45,58.9,43.2,43,82.8,75.5,83.8
110,University of St AndrewsUnited Kingdom,8453,12.2,46%,57 : 43,58.9,45.2,44.3,80.3,33.7,94.3
112,University of GöttingenGermany,26549,26.1,12%,50 : 50,58.8,49.7,48,81.1,34.8,56.6
113,University of BonnGermany,33939,73.3,13%,55 : 45,58.7,47.2,40.8,88.3,37.3,64.6
113,McMaster UniversityCanadaExplore,23943,20.4,16%,52 : 48,58.7,43.5,45.4,82.3,66.1,76.2
113,Queen Mary University of LondonUnited Kingdom,14502,13.2,42%,52 : 48,58.7,34,39.7,95.1,40,94.3
116,University of Colorado BoulderUnited States,29741,16.3,9%,44 : 56,58.6,42.5,43.7,96.1,38,39.4
116,École PolytechniqueFranceExplore,2669,5,31%,18 : 82,58.6,58.6,40.6,67.2,71.9,92.3
118,Ghent UniversityBelgium,35374,37,9%,53 : 47,58.5,43,55.5,75.7,84.4,55.1
119,City University of Hong KongHong KongExplore,9871,11.6,30%,52 : 48,58.4,42.1,44.5,81.6,66.4,83.5
120,University of CopenhagenDenmark,29796,4.2,17%,62 : 38,58.2,46.8,33.1,89.8,44.2,82.3
121,Pierre and Marie Curie UniversityFrance,28473,8,17%,48 : 52,58.1,52.9,33.7,86.2,38.2,71.4
121,Radboud University NijmegenNetherlands,19079,19.1,11%,57 : 43,58.1,35,50.6,87.2,45.2,68.3
121,University of SouthamptonUnited Kingdom,21049,12.8,31%,53 : 47,58.1,39.2,46.1,82.8,39.2,90.2
121,University of VirginiaUnited States,23797,10,12%,53 : 47,58.1,53.7,38.6,86.6,41.9,44.6
125,University of Western AustraliaAustraliaExplore,20777,23,27%,50 : 50,58,32.3,44.9,89,48.8,92.9
126,Case Western Reserve UniversityUnited States,9622,6.6,18%,48 : 52,57.9,50.2,38.9,90.2,36.8,42
126,University of ExeterUnited KingdomExplore,18233,17.5,27%,55 : 45,57.9,34.6,39.2,94.3,34.9,87.6
128,Université Catholique de LouvainBelgium,23916,38.1,19%,54 : 46,57.8,39.6,51.3,78.5,51.5,75.6
129,University of YorkUnited Kingdom,14676,15.3,26%,55 : 45,57.7,42.5,45.9,79.8,34.1,84.5
130,University of BirminghamUnited KingdomExplore,26362,16.7,25%,54 : 46,57.6,38.6,42.4,86.8,38,84.2
131,Arizona State UniversityUnited States,43082,20.1,16%,44 : 56,57.2,38.5,48.9,87.7,36.6,49.7
131,Trinity College DublinIreland,15805,23.4,25%,58 : 42,57.2,44.2,45.3,75.4,38.6,90.4
132,University of OsloNorway,27215,18.7,18%,54 : 46,56.9,39.7,43.1,85.5,42.9,71.2
133,University of LeedsUnited Kingdom,27791,15,22%,59 : 41,56.8,42.3,43,81.3,39,78.2
134,University of FloridaUnited States,44911,17,9%,54 : 46,56.6,53.6,48.1,72.9,65.7,35.2
135,Tufts UniversityUnited States,10462,10.1,15%,54 : 46,56.5,48.1,34.3,88.5,58.5,50.5
135,Ulm UniversityGermany,10370,27.3,12%,47 : 53,56.5,38.2,38.1,91,84,56.9
137,University of GenevaSwitzerland,15587,15,40%,61 : 39,56.4,37.4,41.1,79.3,66.7,98.3
137,Lancaster UniversityUnited Kingdom,11673,13.6,35%,52 : 48,56.4,37,40.9,84.7,35.6,89.1
137,Scuola Normale Superiore di PisaItaly,545,15.1,6%,30 : 70,56.4,54,47.5,70.3,51.6,47.3
137,Sungkyunkwan University (SKKU)South KoreaExplore,24791,19.1,10%,n/a,56.4,53.7,50.6,66.5,88.9,39.6
141,"Rutgers, the State University of New JerseyUnited States",42892,10.8,8%,52 : 48,56.2,47.7,49.8,77.9,36.6,35.6
142,University of AdelaideAustraliaExplore,20462,29.6,27%,47 : 53,56.1,37.1,43.9,78.8,67.5,86.3
143,University of Notre DameUnited States,11821,13.5,10%,45 : 55,55.9,50.2,40.7,80.2,37.4,48.2
144,Karlsruhe Institute of TechnologyGermany,25948,24.5,17%,27 : 73,55.8,41.3,45.2,76.4,98.3,59.5
144,Stockholm UniversitySweden,31272,23.5,8%,62 : 38,55.8,32.2,46.2,86.8,33.8,72.1
146,"University of California, Santa CruzUnited States",17203,24.5,2%,53 : 47,55.6,34.7,35.3,99.8,40.9,48.7
147,University of NottinghamUnited KingdomExplore,29738,14.7,28%,53 : 47,55.5,41,41.3,78.9,39.8,81.6
