rank,name,fte_students,students_per_staff,international_students,ratio,overall,teaching,research,citations,industry_income,international_outlook
 =60,University of QueenslandAustralia,34718,32.7,27%,53 : 47,67,49.2,62.8,82.4,76.7,89.3
 =60,Washington University in St LouisUnited StatesExplore,12528,5.7,17%,0 : 100,67,54.3,55.6,99.2,33.5,44.9
62,Utrecht UniversityNetherlands,30779,15.4,7%,59 : 41,66.6,48.1,64.3,88.1,89.1,55.8
63,University of North Carolina at Chapel HillUnited States,26518,7.3,8%,58 : 42,66.4,58,54.5,95.9,39.4,39
64,Boston UniversityUnited States,24789,8.6,17%,58 : 42,66.1,57.8,49.5,97.7,30.3,51
 =65,Delft University of TechnologyNetherlands,15920,19.4,25%,26 : 74,65.9,55,73.8,61.5,100,84
 =65,University of MinnesotaUnited States,46825,18,12%,52 : 48,65.9,53.5,61,88,98.5,35.3
67,Leiden UniversityNetherlandsExplore,21222,17.1,9%,59 : 41,65.7,50.5,63.1,85.2,49.8,64.3
68,University of Southern CaliforniaUnited States,36534,12.9,20%,52 : 48,65.5,49.3,58.9,93,38,56.3
69,University of BristolUnited Kingdom,17906,14,25%,53 : 47,64.3,47.6,51.6,91.2,40,82.4
70,Durham UniversityUnited Kingdom,15489,15.7,24%,54 : 46,63.6,47.9,51.9,87.7,34.4,86.4
71,Erasmus University RotterdamNetherlandsExplore,20580,18.9,17%,48 : 52,63.5,37.2,55.2,95.6,54.6,76.1
72,Free University of BerlinGermany,33062,39.3,20%,58 : 42,63.2,57.9,72.2,60.2,35.1,69.2
73,Monash UniversityAustraliaExplore,50882,40.5,36%,56 : 44,62.8,48.3,59.1,73.3,82.5,87.6
74,University of GroningenNetherlandsExplore,24556,25.6,11%,52 : 48,62.4,43.3,56.9,84,92.4,63.9
75,Pennsylvania State UniversityUnited States,44501,12.4,12%,46 : 54,62.3,50.4,61.9,80.5,56.2,40.8
 =76,University of GlasgowUnited KingdomExplore,22616,16,29%,57 : 43,61.9,41.6,48.3,92.3,31.6,85.8
 =76,University of HelsinkiFinlandExplore,23505,15.1,6%,66 : 34,61.9,48.4,60.4,82.1,31.6,51.8
78,University of TübingenGermany,28327,38.9,12%,58 : 42,61.7,47,59.8,79.3,59.2,58.2
79,University of PittsburghUnited States,26485,5.8,10%,51 : 49,61.5,50.6,50.3,92.3,39.3,33.9
80,University of WarwickUnited Kingdom,18529,16.6,37%,48 : 52,61.3,47.4,53.1,78.2,37.7,90.3
81,Uppsala UniversitySweden,25266,18.2,12%,57 : 43,61.2,44.1,61,80.9,39.5,59.6
 =82,University of CopenhagenDenmark,27545,4.1,19%,67 : 33,61,49.8,42.7,86.2,45,83.3
 =82,University of New South WalesAustraliaExplore,38309,25.9,32%,47 : 53,61,40.7,53.9,82.1,50,89.5
84,University of FreiburgGermany,26467,31.2,16%,52 : 48,60.7,47.4,51.1,80.5,100,60.3
85,Seoul National UniversitySouth Korea,26389,13.9,10%,n/a,60.5,66.5,70.5,50,85.4,30.9
86,University of St AndrewsUnited Kingdom,8338,12.7,47%,56 : 44,60.4,49.7,47.3,78.8,30.6,92.3
87,Vanderbilt UniversityUnited States,12161,3.6,9%,52 : 48,60.1,47.8,44.2,95.7,63.2,29.1
 =88,Kyoto UniversityJapan,22809,5.6,7%,n/a,59.9,70.6,69.3,46.6,79,26.1
 =88,Maastricht UniversityNetherlandsExplore,15626,18.9,48%,56 : 44,59.9,37.5,47.7,82.7,95.4,95.5
 =90,Emory UniversityUnited States,12338,4.5,18%,56 : 44,59.7,48.3,37.1,96.7,48.9,51
 =90,Lund UniversitySweden,28251,11.5,15%,n/a,59.7,39.7,53.6,81.3,70.4,74.1
 =90,Ohio State UniversityUnited States,51462,13.4,12%,49 : 51,59.7,51.6,46.6,83.2,53.1,53
93,University of ExeterUnited KingdomExplore,17755,18.8,28%,54 : 46,59.5,39.4,40,94.3,31.9,87.3
 =94,University of BonnGermany,32474,70.4,12%,55 : 45,58.8,45.1,47.5,85.3,-,63.6
 =94,Georgetown UniversityUnited States,15408,8.5,14%,53 : 47,58.8,54.4,39.3,82.5,80.7,52.7
 =94,McMaster UniversityCanadaExplore,23823,19.3,15%,53 : 47,58.8,39.8,44.8,84.9,88,76.1
97,University of SheffieldUnited Kingdom,23311,15.5,31%,50 : 50,58.6,42.4,48.8,80.1,43.4,81.9
98,Queen Mary University of LondonUnited Kingdom,14260,14,40%,52 : 48,58.5,34.1,41.3,93.3,36.8,93.5
 =99,University of GöttingenGermany,25581,25.6,12%,51 : 49,58,49.3,54.5,72.7,31.8,56.4
 =99,Michigan State UniversityUnited States,44750,15.7,15%,51 : 49,58,47.3,52.6,76.8,32.2,56.4
 =101,University of BaselSwitzerland,12551,17.3,24%,54 : 46,57.9,39.5,33.1,88.3,99.9,94.7
 =101,École PolytechniqueFranceExplore,2429,4.8,30%,18 : 82,57.9,53.5,44.6,64.7,82.3,92.8
 =101,Rice UniversityUnited States,6333,9,26%,44 : 56,57.9,37.9,35.1,99.7,41.7,66.6
 =101,Trinity College DublinIreland,15520,22.3,25%,57 : 43,57.9,45.5,46.2,75.8,32.8,90.8
 =104,Dartmouth CollegeUnited States,6178,6.6,16%,47 : 53,57.8,50.7,35.8,93.3,40.8,38.3
 =104,University of ZurichSwitzerland,26583,6.5,19%,57 : 43,57.8,49.5,31.5,85.4,44,90.4
 =106,"University of California, IrvineUnited States",26614,16.1,16%,52 : 48,57.7,39.9,41.8,91.6,48.9,59.2
 =106,Aarhus UniversityDenmark,23895,13.6,14%,54 : 46,57.7,36.9,50.7,79.8,68.3,76.8
 =106,University of MannheimGermany,11761,85.8,15%,55 : 45,57.7,34.5,47.7,86.9,85.3,64.6
108,University of Notre DameUnited States,11829,13.8,10%,44 : 56,57.6,47.6,48.1,81.7,33.7,47.6
109,University of Western AustraliaAustraliaExplore,20851,20.7,27%,50 : 50,57.5,33.4,46.1,83.6,64.5,92.6
 =110,RWTH Aachen UniversityGermany,37917,27.6,16%,31 : 69,57.2,49.4,56.3,63.2,98.1,54.1
 =110,University of SouthamptonUnited Kingdom,20925,13.5,29%,53 : 47,57.2,39.8,43.6,82,37.5,88.4
112,Scuola Normale Superiore di PisaItaly,462,16.5,5%,28 : 72,57.1,54.2,53.1,67.2,52,46.3
 =113,University of MontrealCanada,38264,20.3,25%,57 : 43,57,46.3,45.5,69.6,92.6,84.2
 =113,Pierre and Marie Curie UniversityFrance,27862,8.7,18%,48 : 52,57,52.8,32.7,82.9,37.4,74.1
 =113,Purdue UniversityUnited States,39256,18.1,22%,42 : 58,57,50.2,57.7,63.2,-,66.4
116,Pohang University of Science and TechnologySouth KoreaExplore,3055,10.1,4%,20 : 80,56.9,49.1,47.1,76.7,100,33.7
117,"University of Maryland, College ParkUnited States",31331,8.4,9%,48 : 52,56.7,45,42.1,88.2,32.3,43.5
118,Ghent UniversityBelgium,32166,34.1,9%,57 : 43,56.6,42.1,54.5,71.2,88.3,54.2
119,University of BirminghamUnited KingdomExplore,25295,16.4,23%,54 : 46,56.2,39.4,41.8,82.7,34.7,82
 =120,University of BernSwitzerland,14708,22.5,14%,54 : 46,56.1,40,42.5,76.6,82.9,83.7
 =120,University of Cape TownSouth Africa,20040,12.1,18%,53 : 47,56.1,34.9,38.7,85.6,92.7,80.2
 =120,University of FloridaUnited States,50095,18.7,9%,54 : 46,56.1,51.8,56.8,67.7,-,33.3
 =123,University of Erlangen-NurembergGermany,36146,53.9,9%,49 : 51,56,51.7,39.7,75.2,99.4,47
 =123,"Rutgers, the State University of New JerseyUnited States",37032,17.3,8%,51 : 49,56,43.9,55.7,75.4,35.9,34.7
 =125,University of MünsterGermany,39838,46.1,8%,53 : 47,55.9,40.3,44.1,85.6,58.2,46.3
 =125,Radboud University NijmegenNetherlands,17713,13,10%,58 : 42,55.9,34.3,48.5,84.9,39.2,60.9
 =127,University of Colorado BoulderUnited States,29325,16.1,8%,45 : 55,55.8,39.7,37.6,96.4,35.7,36.6
 =127,Tufts UniversityUnited States,10410,10,14%,54 : 46,55.8,45.2,33.3,90.1,60.7,49.4
129,"Royal Holloway, University of LondonUnited Kingdom",8747,15.9,37%,57 : 43,55.7,35.1,33.2,91.2,34.4,92.7
130,Lancaster UniversityUnited Kingdom,11512,14.9,33%,52 : 48,55.6,34,41.4,85.3,33.6,87
 =131,University of GenevaSwitzerland,15668,15,39%,61 : 39,55.4,34.9,40.5,78.5,72.4,98.5
 =131,University of YorkUnited Kingdom,14543,15.8,26%,55 : 45,55.4,41.9,46.3,73.1,31.1,83.5
 =133,Case Western Reserve UniversityUnited States,9259,6.4,17%,48 : 52,55.3,46.1,33.2,92,34.1,40.5
 =133,University of LeedsUnited Kingdom,27703,14.7,21%,58 : 42,55.3,43.7,39,79.2,36.7,77.4
135,University of OsloNorway,27139,18.8,18%,n/a,55.1,43.3,44.7,75.5,38.3,68.2
136,Stockholm UniversitySweden,31715,23.7,8%,62 : 38,54.8,34.1,51.2,82.5,31.1,48.5
137,University of AlbertaCanada,36299,21.6,23%,55 : 45,54.7,46.4,48.1,63.6,47.4,80.7
 =138,Chinese University of Hong KongHong KongExplore,17916,10.2,22%,53 : 47,54.5,41.5,48.5,68.4,37.5,81.1
 =138,Karlsruhe Institute of TechnologyGermany,25294,24.6,16%,26 : 74,54.5,37.7,47.5,73.8,99.5,56.7
140,University of SussexUnited Kingdom,12001,17.4,35%,54 : 46,54.4,33.4,37.2,86.1,30.6,88.3
141,University of MassachusettsUnited States,56959,13,11%,49 : 51,54.3,40.2,36.3,88.1,52.2,48.9
142,University of ViennaAustria,34651,20.5,25%,67 : 33,54.2,40.8,50.5,63.6,30.2,92.6
143,University of NottinghamUnited KingdomExplore,30144,15,27%,54 : 46,54.1,40.3,39,77.5,39.8,80.6
 =144,"University of California, Santa CruzUnited States",17404,22.7,1%,53 : 47,53.9,31.1,34.2,99.9,36.1,45.6
 =144,University of LausanneSwitzerland,11964,13.1,22%,n/a,53.9,30.9,45.6,76.2,56,89.2
146,Autonomous University of BarcelonaSpainExplore,30538,12.3,10%,59 : 41,53.8,40.3,40,83.8,34.9,50.3
147,University of VirginiaUnited States,23845,10.2,12%,52 : 48,53.3,38.8,37.5,87.3,37.9,43.4
148,Korea Advanced Institute of Science and Technology (KAIST)South KoreaExplore,9027,10,9%,20 : 80,53,43.3,40.5,75.9,100,33.9
 =149,University of AdelaideAustraliaExplore,20771,30.1,26%,48 : 52,52.9,32.8,43.2,72.4,79.3,85.1
 =149,University of East AngliaUnited Kingdom,14992,14.7,28%,58 : 42,52.9,31.9,28.7,92.7,28.5,83.5
 =149,University of TwenteNetherlandsExplore,6631,12,26%,37 : 63,52.9,34.1,45.6,68.8,91.2,80.1
153,Sungkyunkwan University (SKKU)South KoreaExplore,24365,20.3,9%,39 : 61,52.8,51.4,53.5,53.8,97.5,36.7
154,Vrije Universiteit AmsterdamNetherlands,23280,16.3,6%,56 : 44,52.5,28.4,37.1,90.7,60.1,54.9
155,KTH Royal Institute of TechnologySweden,12062,14.6,21%,30 : 70,52.4,39,44.3,63.9,78.1,84.4
156,University of CologneGermany,43280,43.4,11%,60 : 40,52.3,42.2,38,75,68.5,53.1
157,University of LiverpoolUnited KingdomExplore,18815,13.6,30%,52 : 48,52.2,32.8,30.9,85.9,36.6,85.4
 =158,TU DresdenGermany,35487,37.4,12%,42 : 58,52.1,41.4,45.8,66.1,99.7,47.7
 =158,University of RochesterUnited States,9390,4.5,26%,49 : 51,52.1,39.7,27.9,89,37,55.8
 =161,Lomonosov Moscow State UniversityRussian Federation,30822,7.7,20%,43 : 57,51.9,75.4,66.7,8.6,95.7,57.8
 =161,University of MiamiUnited States,15286,5.7,14%,50 : 50,51.9,41.7,22.3,90.1,35.5,64
163,University of ArizonaUnited States,36429,12.7,8%,52 : 48,51.7,38.7,41.8,79.5,32.4,38.6
 =164,Pompeu Fabra UniversitySpain,10901,18.3,13%,59 : 41,51.2,32.9,28,90.7,37.2,63.3
 =164,University of ReadingUnited Kingdom,12050,14.8,28%,55 : 45,51.2,39.3,37.3,69.9,34.2,85.1
 =164,Yeshiva UniversityUnited States,6753,5.5,7%,53 : 47,51.2,44.8,23.7,92.8,-,28.5
 =167,"University of California, RiversideUnited States",20626,22,12%,51 : 49,51.1,27.5,33.3,91.2,42.5,59.5
 =167,University of LeicesterUnited Kingdom,14541,13.4,35%,54 : 46,51.1,32.1,27.8,86,31.7,86.6
 =167,National Taiwan UniversityTaiwan,31891,11.9,7%,39 : 61,51.1,54.1,58,47.3,49.6,27.7
 =167,Technical University of DenmarkDenmark,9990,5,18%,27 : 73,51.1,37.3,29.9,77.8,50,85.1
 =167,Université Catholique de LouvainBelgium,28856,42,19%,54 : 46,51.1,38.7,40.6,68.4,51,74.2
 =172,University of AberdeenUnited Kingdom,12938,15.8,33%,54 : 46,51,29.7,31.4,82.6,43.1,91.4
 =172,University of AucklandNew ZealandExplore,29787,18.9,28%,54 : 46,51,31.4,39.5,69.8,78,90.5
174,University of BarcelonaSpainExplore,47491,12.2,10%,62 : 38,50.9,38.5,37.4,78.9,31.1,49.2
175,University of KonstanzGermany,10930,59.1,12%,54 : 46,50.8,38.5,46.7,61.9,92.4,58.3
 =176,Eindhoven University of TechnologyNetherlandsExplore,8176,16,14%,19 : 81,50.6,34.3,41,70.7,57.3,71.3
 =176,University College DublinIrelandExplore,22193,24.5,23%,n/a,50.6,35,38.5,70.8,33.5,86.3
178,Hebrew University of JerusalemIsrael,17612,10.7,5%,55 : 45,50.5,45.8,41.4,64.6,31.9,55.6
179,University of WaterlooCanadaExplore,30726,24.2,14%,45 : 55,50.3,35.4,43.9,66.5,39.5,74.4
 =180,University of GothenburgSweden,26420,16.4,12%,n/a,50.2,28.5,39.8,81.8,30.3,58.3
 =180,Scuola Superiore Sant’AnnaItaly,769,8.5,17%,35 : 65,50.2,42.5,23.2,84.5,71.2,45.2
 =182,University of BergenNorway,11623,11.1,12%,60 : 40,50.1,32.5,31.5,82.4,36.2,70
 =182,Cardiff UniversityUnited Kingdom,23347,13.1,23%,57 : 43,50.1,30.9,31.6,82,34.6,78.1
 =182,University of UtahUnited States,25674,16.9,9%,45 : 55,50.1,35.6,35.3,83.7,57.4,30.1
 =185,Brandeis UniversityUnited States,5495,12.6,22%,55 : 45,49.9,28.3,25.7,97.3,38.6,47
 =185,University of DundeeUnited KingdomExplore,11628,15.3,25%,60 : 40,49.9,25.6,26.9,90.2,49.5,78.5
 =185,University of WürzburgGermany,26576,38.4,8%,57 : 43,49.9,34.6,35.8,79.1,47.9,50.9
188,Paris-Sud UniversityFrance,27603,15,17%,n/a,49.8,38.7,29,79.8,28.8,64.2
189,Arizona State UniversityUnited States,83236,29.9,9%,50 : 50,49.7,32.4,38.1,84.6,32,31.9
 =190,University of AntwerpBelgium,12346,30.3,16%,56 : 44,49.6,31.6,40.8,71.7,60.3,64.8
 =190,Boston CollegeUnited States,13216,17.4,19%,54 : 46,49.6,34.1,29.3,83.3,46.8,60
192,Ulm UniversityGermany,9187,11.2,10%,47 : 53,49.5,35.2,23.9,86.4,58.4,58.2
 =193,University of LuxembourgLuxembourg,5144,15.9,52%,50 : 50,49.4,25,26.7,84.8,38.1,99.8
 =193,Texas A&M UniversityUnited States,50657,21.4,9%,47 : 53,49.4,49.4,52.4,47.1,46.4,47.8
195,Charité - Universitätsmedizin BerlinGermany,6853,6.6,16%,64 : 36,49.3,37.3,22.2,83.8,68.4,61.1
 =196,Newcastle UniversityUnited KingdomExplore,20174,15.2,29%,50 : 50,49.2,30.9,27.5,81.5,34.7,84.3
 =196,"St George’s, University of LondonUnited Kingdom",2958,13.4,17%,61 : 39,49.2,25.6,18.1,100,37.7,69.5
198,University of TrentoItaly,16841,43.2,8%,51 : 49,49.1,30.8,27.4,87.7,47.1,55.9
199,Paris Diderot University – Paris 7France,27756,14.8,17%,63 : 37,48.9,30.5,22.9,91,29,64.9
200,Queen’s University BelfastUnited KingdomExplore,17940,17.9,30%,54 : 46,48.8,34.1,33.3,68.9,35.7,93.4
201-250,Aalborg UniversityDenmarkExplore,17422,15.9,15%,48 : 52,-,25.1,28.4,73.8,43.7,71
201-250,"Birkbeck, University of LondonUnited Kingdom",9454,17.2,38%,55 : 45,-,33.5,35.1,66.3,28.5,89.9
201-250,University of BolognaItaly,85532,22.9,7%,56 : 44,-,39.3,29.5,73,34.5,39.9
201-250,University at BuffaloUnited States,25668,19,19%,47 : 53,-,36.5,37.9,62,43.8,60.6
201-250,University of CalgaryCanada,28341,16.5,17%,53 : 47,-,33.9,36.7,67.8,52,70.1
201-250,Chalmers University of TechnologySweden,8605,11.6,15%,30 : 70,-,36.6,35.3,52.2,79.5,77.6
201-250,City University of Hong KongHong KongExplore,10015,7.1,28%,51 : 49,-,32.1,26.7,76.8,50.1,81.6
201-250,Copenhagen Business SchoolDenmark,18293,42.7,19%,48 : 52,-,19.3,26.5,79.4,35.3,88.5
201-250,Dalhousie UniversityCanada,15064,14.4,18%,55 : 45,-,30.4,29.4,65.2,50.3,78.3
201-250,University of São PauloBrazil,81402,14.6,4%,48 : 52,-,60.9,68.6,20.4,40.3,25.3
201-250,University of Duisburg-EssenGermanyExplore,36051,46.6,11%,49 : 51,-,32.3,27,81.3,82.3,48.5
201-250,École Normale Supérieure de LyonFrance,2218,8,14%,49 : 51,-,41.6,30,69,31.7,65.6
201-250,Florida State UniversityUnited States,41226,31.8,7%,55 : 45,-,38.5,40.1,64.7,32,41.6
201-250,University of FribourgSwitzerland,10416,46.9,19%,58 : 42,-,32.3,32.9,64.1,60.8,87.4
201-250,Fudan UniversityChina,32175,12.2,11%,50 : 50,-,44.7,30.4,61.1,28,38.6
201-250,University of IcelandIceland,13960,25.9,8%,66 : 34,-,16.8,27.1,91.4,58.8,61
201-250,George Washington UniversityUnited States,20541,12,16%,56 : 44,-,44.7,23.5,65.7,29.5,48.1
201-250,Goethe University FrankfurtGermany,31861,9.3,15%,60 : 40,-,35.8,28.6,79.3,38.1,60.2
201-250,University of Hawai’i at MānoaUnited States,16773,11.1,13%,55 : 45,-,32,35.5,67.7,44.7,63.4
201-250,Hong Kong Polytechnic UniversityHong KongExplore,22064,25.9,26%,51 : 49,-,29.3,35.2,63.3,45.1,79
201-250,University of Illinois at ChicagoUnited States,24313,9.2,17%,53 : 47,-,40.9,29.2,63.2,38,58.1
201-250,Indiana UniversityUnited States,62468,13.6,13%,53 : 47,-,43,27.3,74.8,-,41.2
201-250,University of IowaUnited States,27526,11.6,11%,52 : 48,-,41,26.7,73.5,54.1,32.3
201-250,"University of Technology, SydneyAustralia",24519,44.1,31%,53 : 47,-,27.2,35.4,66.9,43.4,90.1
201-250,Johannes Gutenberg University of MainzGermany,35609,32.6,10%,58 : 42,-,34.9,21.7,72.6,70.7,53.3
201-250,Joseph Fourier UniversityFrance,16130,12.1,13%,n/a,-,34.2,21.6,83.2,31.6,58.6
201-250,University of KielGermany,24444,23.8,8%,53 : 47,-,32.3,20.5,89.5,-,49.4
201-250,Laval UniversityCanada,27227,16.2,12%,n/a,-,37.5,31.7,62.2,57.5,63.8
201-250,Medical University of ViennaAustria,7426,2.9,28%,50 : 50,-,26.6,14.6,89.1,33.9,81.7
201-250,Northeastern UniversityUnited States,18539,15.1,26%,50 : 50,-,35.5,20.6,84,32.9,58.7
201-250,Oregon Health and Science UniversityUnited States,2838,1.1,3%,65 : 35,-,27.8,15.7,96,44.6,21.4
201-250,University of OtagoNew ZealandExplore,18600,20.3,21%,57 : 43,-,30.7,30.5,74.9,31.5,89.9
201-250,University of OttawaCanada,36733,26.3,15%,60 : 40,-,37.1,36.7,61.5,41.5,69.9
201-250,Paris Descartes UniversityFrance,34691,26.9,15%,63 : 37,-,24.6,28.8,83.3,29,49.1
201-250,Peter the Great St Petersburg Polytechnic UniversityRussian FederationExplore,17155,7.2,8%,40 : 60,-,30.8,17.8,97.4,42.5,29.6
201-250,Polytechnic University of MilanItaly,30025,22.2,12%,34 : 66,-,30.1,31.7,76.3,66.3,48.8
201-250,Royal Veterinary CollegeUnited Kingdom,1819,10.9,17%,77 : 23,-,26,27.8,74.9,45.5,81.7
201-250,Rush UniversityUnited States,1855,2.1,5%,71 : 29,-,37.7,17.4,88.9,45.4,21.8
201-250,Sapienza University of RomeItaly,120986,32.3,7%,59 : 41,-,38,37.3,61.5,32.6,34.7
201-250,University of Science and Technology of ChinaChina,14290,7.9,2%,n/a,-,46.7,36.6,67.2,80.3,21.4
201-250,University of South FloridaUnited States,31424,21.5,10%,n/a,-,24.8,35.7,73.4,99.8,45.1
201-250,Stony Brook UniversityUnited States,21908,10.9,24%,50 : 50,-,32.6,22,83,33.4,53.2
201-250,University of StuttgartGermany,24099,45.4,20%,31 : 69,-,40,44.5,55.7,99.8,52.7
201-250,Swedish University of Agricultural SciencesSweden,3879,4.6,n/a,67 : 33,-,31.5,32.8,68.1,99.9,40.1
201-250,Technical University of DarmstadtGermany,20300,53.6,18%,28 : 72,-,37.1,43.2,51.1,99.1,54.4
201-250,Tel Aviv UniversityIsrael,23977,24.4,4%,n/a,-,41,50.5,49.2,42.9,47.5
