
 =101,École PolytechniqueFrance,57.9,53.5,44.6,64.7,82.3,92.8
 =101,Rice UniversityUnited States,57.9,37.9,35.1,99.7,41.7,66.6
 =101,Trinity College DublinIreland,57.9,45.5,46.2,75.8,32.8,90.8
 =104,Dartmouth CollegeUnited States,57.8,50.7,35.8,93.3,40.8,38.3
 =104,University of ZurichSwitzerland,57.8,49.5,31.5,85.4,44,90.4
 =106,"University of California, IrvineUnited States",57.7,39.9,41.8,91.6,48.9,59.2
 =106,Aarhus UniversityDenmark,57.7,36.9,50.7,79.8,68.3,76.8
 =106,University of MannheimGermany,57.7,34.5,47.7,86.9,85.3,64.6
108,University of Notre DameUnited States,57.6,47.6,48.1,81.7,33.7,47.6
109,University of Western AustraliaAustralia,57.5,33.4,46.1,83.6,64.5,92.6
 =110,RWTH Aachen UniversityGermany,57.2,49.4,56.3,63.2,98.1,54.1
 =110,University of SouthamptonUnited Kingdom,57.2,39.8,43.6,82,37.5,88.4
112,Scuola Normale Superiore di PisaItaly,57.1,54.2,53.1,67.2,52,46.3
 =113,University of MontrealCanada,57,46.3,45.5,69.6,92.6,84.2
 =113,Pierre and Marie Curie UniversityFrance,57,52.8,32.7,82.9,37.4,74.1
 =113,Purdue UniversityUnited States,57,50.2,57.7,63.2,-,66.4
116,Pohang University of Science and TechnologySouth Korea,56.9,49.1,47.1,76.7,100,33.7
117,"University of Maryland, College ParkUnited States",56.7,45,42.1,88.2,32.3,43.5
118,Ghent UniversityBelgium,56.6,42.1,54.5,71.2,88.3,54.2
119,University of BirminghamUnited Kingdom,56.2,39.4,41.8,82.7,34.7,82
 =120,University of BernSwitzerland,56.1,40,42.5,76.6,82.9,83.7
 =120,University of Cape TownSouth Africa,56.1,34.9,38.7,85.6,92.7,80.2
 =120,University of FloridaUnited States,56.1,51.8,56.8,67.7,-,33.3
 =123,University of Erlangen-NurembergGermany,56,51.7,39.7,75.2,99.4,47
 =123,"Rutgers, the State University of New JerseyUnited States",56,43.9,55.7,75.4,35.9,34.7
 =125,University of MünsterGermany,55.9,40.3,44.1,85.6,58.2,46.3
 =125,Radboud University NijmegenNetherlands,55.9,34.3,48.5,84.9,39.2,60.9
 =127,University of Colorado BoulderUnited States,55.8,39.7,37.6,96.4,35.7,36.6
 =127,Tufts UniversityUnited States,55.8,45.2,33.3,90.1,60.7,49.4
129,"Royal Holloway, University of LondonUnited Kingdom",55.7,35.1,33.2,91.2,34.4,92.7
130,Lancaster UniversityUnited Kingdom,55.6,34,41.4,85.3,33.6,87
 =131,University of GenevaSwitzerland,55.4,34.9,40.5,78.5,72.4,98.5
 =131,University of YorkUnited Kingdom,55.4,41.9,46.3,73.1,31.1,83.5
