rank,name,fte_students,students_per_staff,international_students,ratio,overall,teaching,research,citations,industry_income,international_outlook,size,country,continent,english_spoken,size_int,country_int,continent_int
351-400,La Trobe University,22037,29.0,0.27,63,37.2,27.0,28.5,45.4,43.7,78.0,large,Australia,Oceania,1.0,2.0,173.0,4.0
351-400,Loughborough University,13951,15.9,0.22,38,37.8,31.2,32.2,41.3,36.6,72.9,medium,United Kingdom,Europe,1.0,1.0,148.0,2.0
351-400,University of Manitoba,28576,27.8,0.11,55,36.5,27.1,26.9,49.7,41.8,57.8,large,Canada,North America,1.0,2.0,154.0,3.0
351-400,University of Missouri,29885,14.1,0.05,53,36.8,31.2,21.0,60.2,31.1,31.0,large,United States,North America,1.0,2.0,172.0,3.0
351-400,University of Modena and Reggio Emilia,19693,25.3,0.06,54,35.5,18.7,15.6,72.9,32.3,34.2,large,Italy,Europe,0.0,2.0,123.0,2.0
351-400,University of Montana,12470,15.2,0.03,54,35.4,30.8,13.6,65.5,31.0,21.5,medium,United States,North America,1.0,1.0,172.0,3.0
351-400,Maynooth University,7653,28.0,0.11,55,35.9,24.6,22.8,50.2,36.6,75.6,medium,Ireland,Europe,1.0,1.0,122.0,2.0
351-400,University of Nebraska Medical Center,2857,2.6,0.08,67,38.1,37.0,13.3,64.4,33.6,37.7,small,United States,North America,1.0,0.0,172.0,3.0
351-400,University of New Mexico,23618,6.5,0.04,67,37.7,25.6,15.4,74.5,37.0,28.6,large,United States,North America,1.0,2.0,172.0,3.0
351-400,Norwegian University of Science and Technology,17381,13.9,0.09,46,36.4,16.3,25.8,59.8,51.8,59.9,large,Norway,Europe,0.0,2.0,135.0,2.0
351-400,University of Oulu,14056,8.5,0.06,49,35.4,23.1,15.9,62.3,30.9,56.9,medium,Finland,Europe,0.0,1.0,115.0,2.0
351-400,Panthéon-Sorbonne University – Paris 1,42215,34.3,0.2,59,36.6,53.2,47.6,6.8,28.3,47.6,large,France,Europe,0.0,2.0,116.0,2.0
351-400,Polytechnic University of Turin,27709,19.6,0.16,29,37.3,23.7,18.6,65.9,42.5,50.6,large,Italy,Europe,0.0,2.0,123.0,2.0
351-400,University of Rome III,36353,61.2,0.05,59,36.3,23.1,21.0,64.8,37.5,35.9,large,Italy,Europe,0.0,2.0,123.0,2.0
351-400,Bilkent University,9370,13.6,0.03,46,36.3,23.5,18.6,64.1,36.4,47.5,medium,Turkey,Asia,0.0,1.0,94.0,1.0
351-400,Sabancı University,2739,15.9,0.06,39,37.2,22.3,32.3,52.8,70.0,42.7,small,Turkey,Asia,0.0,0.0,94.0,1.0
351-400,San Diego State University,27420,31.7,0.05,57,35.7,20.3,27.0,62.7,29.3,25.9,large,United States,North America,1.0,2.0,172.0,3.0
351-400,University of South Australia,18971,26.2,0.32,59,37.1,26.4,26.7,41.2,85.9,89.0,large,Australia,Oceania,1.0,2.0,173.0,4.0
351-400,University of South Carolina,29336,16.3,0.01,55,36.0,31.1,21.5,58.7,30.3,24.5,large,United States,North America,1.0,2.0,172.0,3.0
351-400,University of South Dakota,8003,17.1,0.02,61,35.5,29.3,12.1,70.4,28.0,17.1,medium,United States,North America,1.0,1.0,172.0,3.0
351-400,State University of Campinas,27095,15.3,0.03,48,35.7,44.6,42.3,22.6,49.4,21.1,large,Brazil,South America,0.0,2.0,189.0,5.0
351-400,University of Stirling,7828,15.9,0.22,61,38.1,22.6,23.5,59.1,30.4,77.7,medium,United Kingdom,Europe,1.0,1.0,148.0,2.0
351-400,Sun Yat-sen University,51351,16.6,0.08,51,35.4,31.9,24.6,45.7,79.4,37.0,large,China,Asia,0.0,2.0,61.0,1.0
351-400,Swansea University,12801,17.1,0.2,49,37.5,22.2,23.8,58.2,32.7,72.4,medium,United Kingdom,Europe,1.0,1.0,148.0,2.0
351-400,Swinburne University of Technology,20314,36.5,0.32,44,35.7,21.5,20.2,53.4,32.2,84.8,large,Australia,Oceania,1.0,2.0,173.0,4.0
351-400,University of Tartu,10269,13.0,0.03,66,37.5,23.8,22.8,64.2,31.5,46.1,medium,Estonia,Europe,0.0,1.0,114.0,2.0
351-400,Temple University,33268,13.3,0.05,51,36.3,34.0,18.2,58.3,41.6,28.6,large,United States,North America,1.0,2.0,172.0,3.0
351-400,University of Texas at San Antonio,27520,26.9,0.06,48,35.8,18.1,16.6,74.9,28.6,29.6,large,United States,North America,1.0,2.0,172.0,3.0
351-400,UiT The Arctic University of Norway,10398,12.2,0.1,60,37.1,26.5,18.7,58.8,36.8,66.1,medium,Norway,Europe,0.0,1.0,135.0,2.0
351-400,Université Libre de Bruxelles,23819,26.1,0.32,54,38.0,26.1,28.3,47.9,39.1,84.5,large,Belgium,Europe,0.0,2.0,106.0,2.0
351-400,Lille 2 University – Health and Law,26894,38.5,0.08,58,35.6,15.1,9.5,81.7,31.5,39.4,large,France,Europe,0.0,2.0,116.0,2.0
351-400,University College Cork,15805,22.3,0.15,55,37.1,28.6,23.8,48.4,47.1,75.5,large,Ireland,Europe,1.0,2.0,122.0,2.0
351-400,Verona University,25250,19.7,0.07,65,37.6,23.6,13.1,76.1,36.6,38.3,large,Italy,Europe,0.0,2.0,123.0,2.0
351-400,Victoria University of Wellington,17142,21.1,0.21,55,37.5,26.0,28.7,44.3,45.6,88.8,large,New Zealand,Oceania,1.0,2.0,179.0,4.0
351-400,Washington State University,24550,18.3,0.07,50,36.4,29.0,28.2,49.6,57.1,39.6,large,United States,North America,1.0,2.0,172.0,3.0
351-400,Wayne State University,23065,10.7,0.06,57,36.7,31.9,14.2,65.3,41.7,29.6,large,United States,North America,1.0,2.0,172.0,3.0
401-500,American University,11604,12.0,0.12,60,33.0,42.2,16.5,41.1,35.9,28.9,medium,United States,North America,1.0,1.0,172.0,3.0
401-500,Aston University,8834,17.8,0.31,48,35.0,18.4,20.4,51.9,34.6,92.5,medium,United Kingdom,Europe,1.0,1.0,148.0,2.0
401-500,University of Aveiro,10791,17.8,0.1,51,32.9,24.8,26.5,43.6,40.1,45.9,medium,Portugal,Europe,0.0,1.0,137.0,2.0
401-500,University of Bari Aldo Moro,51560,65.1,0.02,65,33.2,28.7,21.6,48.8,45.4,31.7,large,Italy,Europe,0.0,2.0,123.0,2.0
401-500,Bar-Ilan University,17503,16.0,0.05,59,30.3,22.6,21.3,42.3,28.9,49.4,large,Israel,Asia,0.0,2.0,68.0,1.0
401-500,Makerere University,37340,29.4,0.09,50,34.7,15.9,11.8,70.7,33.1,58.0,large,Uganda,Africa,0.0,2.0,51.0,0.0
401-500,Bournemouth University,14907,25.9,0.18,53,30.0,32.0,12.6,35.2,28.8,70.6,medium,United Kingdom,Europe,1.0,1.0,148.0,2.0
401-500,University of Brescia,14076,25.0,0.07,48,34.5,15.6,14.8,72.3,35.8,36.6,medium,Italy,Europe,0.0,1.0,123.0,2.0
401-500,Brno University of Technology,23694,21.3,0.15,27,30.1,18.0,14.7,55.8,33.7,35.8,large,Czech Republic,Europe,0.0,2.0,112.0,2.0
401-500,Brunel University London,12613,17.6,0.38,46,34.0,24.8,23.3,39.5,34.7,91.8,medium,United Kingdom,Europe,1.0,1.0,148.0,2.0
401-500,Ca’ Foscari University of Venice,19267,38.3,0.07,66,33.8,23.9,27.8,48.9,32.3,38.1,large,Italy,Europe,0.0,2.0,123.0,2.0
401-500,University of Cagliari,30638,51.0,0.01,62,30.1,19.4,13.2,56.8,33.6,32.6,large,Italy,Europe,0.0,2.0,123.0,2.0
401-500,University of Canterbury,12187,16.5,0.2,51,33.6,23.5,22.5,38.9,52.1,91.0,medium,New Zealand,Oceania,1.0,1.0,179.0,4.0
401-500,Catholic University of the Sacred Heart,30304,18.9,0.1,49,29.5,18.6,11.3,55.4,38.7,39.0,large,Italy,Europe,0.0,2.0,123.0,2.0
401-500,Charles University in Prague,51438,13.0,0.15,62,32.9,31.5,21.5,41.0,28.2,52.8,large,Czech Republic,Europe,0.0,2.0,112.0,2.0
401-500,China Medical University,7983,15.4,0.08,53,33.0,24.0,29.4,45.0,60.4,25.7,medium,Taiwan,Asia,0.0,1.0,91.0,1.0
401-500,City,13053,17.8,0.5,55,33.9,23.5,21.2,43.5,28.9,89.6,medium,United Kingdom,Europe,1.0,1.0,148.0,2.0
401-500,Claude Bernard University Lyon 1France,35308,16.1,0.11,50,35.0,21.3,13.2,66.5,34.5,50.5,large,France,Europe,0.0,2.0,116.0,2.0
401-500,University of Coimbra,22795,19.0,0.11,55,33.5,28.3,26.5,42.4,34.8,46.2,large,Portugal,Europe,0.0,2.0,137.0,2.0
401-500,Complutense University of Madrid,86519,17.5,0.13,62,31.3,33.2,27.6,31.2,30.9,39.1,large,Spain,Europe,0.0,2.0,144.0,2.0
401-500,Concordia University,31017,30.3,0.27,50,30.3,19.3,23.4,36.4,30.9,77.4,large,Canada,North America,1.0,2.0,154.0,3.0
401-500,Curtin University,30333,17.1,0.38,53,33.4,20.1,20.2,44.6,37.8,93.1,large,Australia,Oceania,1.0,2.0,173.0,4.0
401-500,Dublin City University,8546,22.9,0.17,51,33.3,26.1,25.2,36.3,51.7,76.7,medium,Ireland,Europe,1.0,1.0,122.0,2.0
401-500,East China University of Science and Technology,27140,15.5,0.05,39,29.5,24.1,17.1,46.4,64.7,21.7,large,China,Asia,0.0,2.0,61.0,1.0
401-500,Ewha Womans University,17625,14.4,0.06,10,31.8,23.9,18.3,50.4,57.6,34.3,large,South Korea,Asia,0.0,2.0,73.0,1.0
401-500,Federico Santa María Technical University,11718,34.0,0.02,24,34.3,17.2,10.1,70.5,35.1,54.1,medium,Chile,South America,0.0,1.0,190.0,5.0
401-500,University of Ferrara,18882,30.2,0.07,56,33.5,17.7,17.2,63.3,35.9,41.8,large,Italy,Europe,0.0,2.0,123.0,2.0
401-500,Florida International University,32566,25.9,0.07,56,31.2,25.7,18.1,49.4,32.7,32.8,large,United States,North America,1.0,2.0,172.0,3.0
401-500,University of Genoa,37373,29.5,0.09,56,34.2,27.2,14.2,59.3,42.3,38.8,large,Italy,Europe,0.0,2.0,123.0,2.0
401-500,Georgia State University,28534,20.4,0.05,59,32.5,26.3,19.5,52.9,28.7,29.5,large,United States,North America,1.0,2.0,172.0,3.0
401-500,University of Graz,20584,26.8,0.12,65,34.3,24.9,16.3,53.3,29.3,68.9,large,Austria,Europe,0.0,2.0,103.0,2.0
401-500,Heriot-Watt University,8773,17.8,0.43,41,32.6,23.4,22.4,36.4,45.6,90.1,medium,United Kingdom,Europe,1.0,1.0,148.0,2.0
401-500,Hokkaido University,18162,8.2,0.09,29,34.2,40.3,32.8,29.3,53.7,27.9,large,Japan,Asia,0.0,2.0,69.0,1.0
401-500,Howard University,10297,6.8,0.05,65,31.7,38.8,11.0,44.5,47.0,30.3,medium,United States,North America,1.0,1.0,172.0,3.0
401-500,University of Hull,15141,18.7,0.2,52,30.2,22.4,16.1,41.1,31.8,73.2,large,United Kingdom,Europe,1.0,2.0,148.0,2.0
401-500,University of Idaho,11641,21.5,0.06,47,29.8,28.3,19.4,40.8,32.4,32.0,medium,United States,North America,1.0,1.0,172.0,3.0
401-500,Indian Institute of Technology Delhi,8371,17.3,0.01,18,31.2,35.8,25.8,33.4,62.8,15.5,medium,India,Asia,0.0,1.0,64.0,1.0
401-500,Indian Institute of Technology Kharagpur,9928,17.5,0.13,15,33.3,33.2,30.5,41.4,31.7,13.3,medium,India,Asia,0.0,1.0,64.0,1.0
401-500,Indian Institute of Technology Madras,8234,15.9,0.01,19,29.4,34.6,20.7,31.4,88.9,16.1,medium,India,Asia,0.0,1.0,64.0,1.0
401-500,University of Ioannina,20825,36.3,0.04,58,30.2,14.5,17.7,56.4,32.9,36.9,large,Greece,Europe,0.0,2.0,119.0,2.0
401-500,Iran University of Science and Technology,10311,23.9,0.13,24,30.7,25.9,26.0,42.3,61.2,12.2,medium,Iran,Asia,0.0,1.0,66.0,1.0
401-500,Johannes Kepler University of Linz,19646,29.1,0.1,48,30.7,19.2,13.8,51.6,37.4,58.5,large,Austria,Europe,0.0,2.0,103.0,2.0
401-500,University of Kaiserslautern,14184,54.4,0.14,36,35.2,29.6,22.6,47.5,80.2,44.1,medium,Germany,Europe,0.0,1.0,118.0,2.0
401-500,Keele University,8397,15.7,0.2,55,33.4,20.0,17.6,53.0,29.3,72.7,medium,United Kingdom,Europe,1.0,1.0,148.0,2.0
401-500,University of KwaZulu-Natal,30572,24.9,0.06,58,31.6,20.3,25.7,41.5,38.2,58.6,large,South Africa,Africa,0.0,2.0,44.0,0.0
401-500,Kyung Hee University,24356,17.4,0.14,46,33.6,26.1,27.6,39.2,89.4,46.4,large,South Korea,Asia,0.0,2.0,73.0,1.0
401-500,Kyushu University,18925,6.7,0.08,28,32.8,36.5,27.5,31.8,83.2,26.4,large,Japan,Asia,0.0,2.0,69.0,1.0
401-500,Lehigh University,6300,11.3,0.15,44,32.8,23.9,15.0,58.2,38.9,36.0,medium,United States,North America,1.0,1.0,172.0,3.0
401-500,Louisiana State University,28116,20.1,0.05,52,30.1,26.8,27.7,37.8,19.9,26.1,large,United States,North America,1.0,2.0,172.0,3.0
401-500,University of Macau,8521,14.9,0.31,58,33.8,18.5,17.0,49.7,34.9,98.4,medium,Macao,Asia,0.0,1.0,78.0,1.0
401-500,Marche Polytechnic University,16589,23.0,0.04,45,34.7,15.2,11.0,80.2,28.0,27.3,large,Italy,Europe,0.0,2.0,123.0,2.0
401-500,University of Maryland,13908,18.1,0.07,46,33.1,21.3,18.2,61.3,31.7,28.2,medium,United States,North America,1.0,1.0,172.0,3.0
401-500,Murdoch University,16606,32.8,0.43,59,34.4,18.7,19.6,51.2,36.5,88.3,large,Australia,Oceania,1.0,2.0,173.0,4.0
401-500,University of Nantes,33866,22.2,0.11,56,33.9,19.6,12.2,69.4,35.9,35.1,large,France,Europe,0.0,2.0,116.0,2.0
401-500,National and Kapodistrian University of Athens,63052,32.3,0.09,61,30.4,26.7,16.3,45.8,34.7,39.0,large,Greece,Europe,0.0,2.0,119.0,2.0
401-500,National Autonomous University of Mexico,137378,11.6,0.05,51,33.6,42.7,40.2,14.8,63.7,35.9,large,Mexico,North America,0.0,2.0,165.0,3.0
401-500,National Cheng Kung University (NCKU),21234,14.4,0.11,36,33.7,29.8,40.2,27.2,100.0,27.7,large,Taiwan,Asia,0.0,2.0,91.0,1.0
401-500,National Institute of Applied Sciences of Lyon (INSA Lyon),6137,8.2,0.31,31,29.6,27.0,10.6,41.8,40.3,63.6,medium,France,Europe,0.0,1.0,116.0,2.0
401-500,National Yang-Ming University,4496,5.4,0.02,48,29.9,41.5,18.5,33.3,30.2,15.8,small,Taiwan,Asia,0.0,0.0,91.0,1.0
401-500,University of Neuchâtel,4358,8.5,0.22,59,33.8,24.2,14.7,48.2,33.9,91.4,small,Switzerland,Europe,0.0,0.0,146.0,2.0
401-500,NOVA University of Lisbon,18867,17.9,0.07,49,30.5,26.9,21.9,38.3,41.3,44.5,large,Portugal,Europe,0.0,2.0,137.0,2.0
401-500,University of Nice Sophia Antipolis,27304,20.3,0.22,56,34.0,21.4,16.1,53.7,28.5,79.5,large,France,Europe,0.0,2.0,116.0,2.0
401-500,Novosibirsk State University,7131,7.1,0.13,52,32.9,41.4,30.8,26.2,38.2,32.4,medium,Russian Federation,Europe,0.0,1.0,139.0,2.0
401-500,The Open University,76683,35.9,0.09,61,33.1,21.0,13.8,60.3,28.4,51.5,large,United Kingdom,Europe,1.0,2.0,148.0,2.0
401-500,Oxford Brookes University,14238,18.5,0.25,57,32.0,25.7,18.8,42.7,28.4,68.9,medium,United Kingdom,Europe,1.0,1.0,148.0,2.0
401-500,University of Palermo,43875,22.4,0.01,60,33.0,15.3,9.1,77.4,28.0,23.6,large,Italy,Europe,0.0,2.0,123.0,2.0
401-500,University of Parma,26937,29.1,0.07,56,30.9,17.7,16.6,56.4,37.1,36.8,large,Italy,Europe,0.0,2.0,123.0,2.0
401-500,University of Pisa,47247,18.0,0.03,52,34.6,21.6,18.9,64.5,31.4,31.1,large,Italy,Europe,0.0,2.0,123.0,2.0
401-500,Polytechnic University of Catalonia,22893,11.7,0.28,12,31.2,25.2,14.8,44.7,40.9,63.9,large,Spain,Europe,0.0,2.0,144.0,2.0
401-500,Pontifical Catholic University of Chile,25075,15.3,0.07,49,30.6,28.2,21.3,37.0,28.0,52.4,large,Chile,South America,0.0,2.0,190.0,5.0
401-500,University of Porto,32720,18.8,0.09,54,33.6,32.0,28.2,37.2,38.7,45.4,large,Portugal,Europe,0.0,2.0,137.0,2.0
401-500,University of Portsmouth,20161,19.1,0.23,45,32.6,17.2,10.9,58.2,28.9,79.3,large,United Kingdom,Europe,1.0,2.0,148.0,2.0
401-500,RMIT University,29501,18.1,0.24,47,33.2,24.7,17.7,44.6,37.0,82.1,large,Australia,Oceania,1.0,2.0,173.0,4.0
401-500,University of Rome II – Tor Vergata,33504,26.5,0.06,52,35.2,23.5,17.2,64.5,34.7,36.5,large,Italy,Europe,0.0,2.0,123.0,2.0
401-500,University of Rovira i Virgili,12533,12.8,0.09,61,34.6,20.8,14.8,66.9,30.9,41.5,medium,Spain,Europe,0.0,1.0,144.0,2.0
401-500,Saint Petersburg State University,20836,5.2,0.07,60,31.4,47.9,31.4,14.5,29.5,33.0,large,Russian Federation,Europe,0.0,2.0,139.0,2.0
401-500,University of Salento,19959,58.4,0.01,64,31.5,29.6,13.2,53.0,36.2,24.5,large,Italy,Europe,0.0,2.0,123.0,2.0
401-500,University of San Francisco,10788,17.0,0.17,63,31.0,34.2,12.9,43.8,28.6,40.1,medium,United States,North America,1.0,1.0,172.0,3.0
401-500,University of Saskatchewan,19028,16.3,0.14,57,33.4,30.8,22.4,39.7,62.9,52.9,large,Canada,North America,1.0,2.0,154.0,3.0
401-500,Sharif University of Technology,10977,18.7,0.13,27,30.5,26.6,30.1,33.7,87.8,15.9,medium,Iran,Asia,0.0,1.0,66.0,1.0
401-500,University of Siena,18846,23.6,0.05,59,29.8,23.7,17.8,45.2,33.2,39.0,large,Italy,Europe,0.0,2.0,123.0,2.0
401-500,Southern Cross University,9026,32.8,0.15,66,32.0,18.9,18.3,53.3,37.7,52.7,medium,Australia,Oceania,1.0,1.0,173.0,4.0
401-500,State University of New York Albany,15387,18.5,0.08,51,32.0,25.6,35.3,35.5,28.0,31.4,large,United States,North America,1.0,2.0,172.0,3.0
401-500,University of Strathclyde,15705,20.2,0.2,50,32.1,25.9,28.0,31.8,44.1,71.0,large,United Kingdom,Europe,1.0,2.0,148.0,2.0
401-500,University of Tampere,10045,9.5,0.04,66,34.4,23.5,13.7,63.7,40.0,41.9,medium,Finland,Europe,0.0,1.0,115.0,2.0
401-500,Bo_aziçi University,11506,25.0,0.07,50,30.3,21.9,19.2,45.4,57.1,38.3,medium,Turkey,Asia,0.0,1.0,94.0,1.0
401-500,Tampere University of Technology,6147,15.5,0.13,23,31.5,23.1,17.2,45.5,67.5,54.0,medium,Finland,Europe,0.0,1.0,115.0,2.0
401-500,Tokyo Medical and Dental University (TMDU),2872,3.3,0.07,51,31.5,39.3,18.3,36.6,59.5,23.1,small,Japan,Asia,0.0,0.0,69.0,1.0
401-500,Tokyo Metropolitan University,9303,9.9,0.03,35,33.8,21.6,11.4,72.2,30.9,19.9,medium,Japan,Asia,0.0,1.0,69.0,1.0
401-500,University of Tsukuba,15930,12.6,0.16,38,34.8,40.0,30.0,33.7,42.9,34.4,large,Japan,Asia,0.0,2.0,69.0,1.0
401-500,University of Ulsan,14037,13.3,0.03,45,31.2,19.5,20.5,54.0,64.7,18.6,medium,South Korea,Asia,0.0,1.0,73.0,1.0
401-500,Ulster University,19622,15.8,0.15,55,29.6,19.1,13.2,44.1,29.2,79.0,large,United Kingdom,Europe,1.0,2.0,148.0,2.0
401-500,Université du Québec à Montréal,27046,24.7,0.09,61,31.8,26.8,24.5,41.6,29.2,42.9,large,Canada,North America,1.0,2.0,154.0,3.0
401-500,Universiti Teknologi Malaysia,16270,9.0,0.13,43,30.3,26.3,14.6,44.7,31.1,51.7,large,Malaysia,Asia,0.0,2.0,79.0,1.0
401-500,University of Urbino Carlo Bo,13435,37.4,0.07,61,31.2,17.2,8.7,66.8,31.2,35.0,medium,Italy,Europe,0.0,1.0,123.0,2.0
401-500,University of Valencia,58413,15.4,0.09,60,30.6,22.7,16.9,49.6,31.3,40.5,large,Spain,Europe,0.0,2.0,144.0,2.0
401-500,University of Waikato,10159,17.0,0.25,57,34.7,19.3,18.2,53.7,30.7,87.0,medium,New Zealand,Oceania,1.0,1.0,179.0,4.0
401-500,Western Sydney University,30704,32.2,0.09,56,33.9,20.1,24.6,52.3,30.7,54.0,large,Australia,Oceania,1.0,2.0,173.0,4.0
401-500,Wuhan University,46227,14.4,0.07,49,30.1,38.2,26.8,18.0,97.8,36.7,large,China,Asia,0.0,2.0,61.0,1.0
401-500,Xiamen University,32921,12.3,0.05,52,28.9,26.7,15.6,47.0,8.7,25.0,large,China,Asia,0.0,2.0,61.0,1.0
501-600,American University of Beirut,7695,8.9,0.25,51,29.2,27.7,11.2,31.9,38.4,93.0,medium,Lebanon,Asia,0.0,1.0,77.0,1.0
501-600,Amirkabir University of Technology,14080,25.6,0.01,34,27.5,24.5,25.7,34.8,55.7,7.7,medium,Iran,Asia,0.0,1.0,66.0,1.0
501-600,University of the Andes,15773,16.9,0.02,44,24.4,21.2,13.8,31.2,28.0,51.7,large,Colombia,South America,0.0,2.0,191.0,5.0
501-600,University of Arkansas,22819,21.2,0.05,50,24.8,25.5,17.4,30.3,36.9,25.9,large,United States,North America,1.0,2.0,172.0,3.0
501-600,Auburn University,22386,17.6,0.04,51,24.2,30.2,19.4,21.0,37.2,27.9,large,United States,North America,1.0,2.0,172.0,3.0
501-600,Babe_-Bolyai University,37915,23.5,0.02,67,25.1,27.9,12.5,32.1,28.6,35.4,large,Romania,Europe,0.0,2.0,138.0,2.0
501-600,Bauman Moscow State Technical University,18808,4.0,0.04,23,24.1,44.0,23.7,3.1,68.1,15.6,large,Russian Federation,Europe,0.0,2.0,139.0,2.0
501-600,Blaise Pascal University,15619,7.1,0.17,55,26.8,20.2,2.9,46.9,33.5,66.6,large,France,Europe,0.0,2.0,116.0,2.0
501-600,University of Burgundy,26612,20.8,0.11,54,27.9,21.4,8.8,46.3,47.0,50.9,large,France,Europe,0.0,2.0,116.0,2.0
501-600,University of Canberra,11221,28.6,0.24,54,25.3,18.4,19.3,29.8,36.2,54.6,medium,Australia,Oceania,1.0,1.0,173.0,4.0
501-600,Ben-Gurion University of the Negev,16695,12.6,0.02,49,28.6,25.8,23.1,30.1,37.0,52.9,large,Israel,Asia,0.0,2.0,68.0,1.0
501-600,Carleton University,25036,29.8,0.18,47,28.1,19.9,24.0,32.0,30.4,61.3,large,Canada,North America,1.0,2.0,154.0,3.0
501-600,University of Catania,55859,49.7,0.01,61,29.0,19.2,15.9,52.9,29.5,25.3,large,Italy,Europe,0.0,2.0,123.0,2.0
501-600,Central Queensland University,11452,29.6,0.27,59,27.4,20.9,11.4,43.7,32.5,50.8,medium,Australia,Oceania,1.0,1.0,173.0,4.0
501-600,University of Chile,29207,14.2,0.03,47,27.6,28.3,19.6,30.5,32.0,44.1,large,Chile,South America,0.0,2.0,190.0,5.0
501-600,China Agricultural University,19342,12.0,0.01,57,27.6,35.8,24.9,22.6,52.3,17.6,large,China,Asia,0.0,2.0,61.0,1.0
501-600,Chung-Ang University,13015,17.4,0.17,45,27.3,29.9,27.6,17.4,61.3,43.7,medium,South Korea,Asia,0.0,1.0,73.0,1.0
501-600,Czech Technical University in Prague,22751,12.0,0.13,0,25.5,20.6,9.3,46.5,28.2,25.0,large,Czech Republic,Europe,0.0,2.0,112.0,2.0
501-600,De Montfort University,16812,19.1,0.21,57,25.2,16.8,10.1,40.1,28.5,58.4,large,United Kingdom,Europe,1.0,2.0,148.0,2.0
501-600,East China Normal University,29623,14.0,0.11,63,28.1,24.6,14.7,43.3,42.0,30.6,large,China,Asia,0.0,2.0,61.0,1.0
501-600,Edith Cowan University,16671,34.2,0.18,61,27.0,18.9,16.1,35.0,34.5,68.7,large,Australia,Oceania,1.0,2.0,173.0,4.0
501-600,Federal University of Rio de Janeiro,52878,12.8,0.02,54,24.1,32.4,19.7,18.3,42.9,25.1,large,Brazil,South America,0.0,2.0,189.0,5.0
501-600,University of Granada,53476,16.0,0.06,56,28.9,24.3,14.7,45.8,29.4,36.4,large,Spain,Europe,0.0,2.0,144.0,2.0
501-600,University of Haifa,17758,30.8,0.01,65,27.7,25.5,29.5,26.2,30.3,34.7,large,Israel,Asia,0.0,2.0,68.0,1.0
501-600,Harbin Institute of Technology,31658,10.8,0.07,29,26.1,29.4,27.3,15.7,99.8,25.6,large,China,Asia,0.0,2.0,61.0,1.0
501-600,University of Hertfordshire,19665,19.4,0.27,54,29.3,15.5,9.5,50.5,29.3,78.9,large,United Kingdom,Europe,1.0,2.0,148.0,2.0
501-600,Hiroshima University,14686,8.2,0.05,36,29.2,27.8,18.9,41.7,42.2,22.2,medium,Japan,Asia,0.0,1.0,69.0,1.0
501-600,Huazhong University of Science and Technology,57242,17.7,0.03,34,28.2,29.3,22.7,31.6,71.8,17.3,large,China,Asia,0.0,2.0,61.0,1.0
501-600,Indian Institute of Technology Guwahati,4710,14.2,0.01,14,28.1,24.3,20.7,42.6,32.3,12.9,small,India,Asia,0.0,0.0,64.0,1.0
501-600,Indian Institute of Technology Kanpur,6167,12.2,0.13,13,25.8,33.1,15.0,31.5,28.0,16.4,medium,India,Asia,0.0,1.0,64.0,1.0
501-600,Indian Institute of Technology Roorkee,8061,18.7,0.01,17,28.4,29.7,17.5,37.2,81.4,13.9,medium,India,Asia,0.0,1.0,64.0,1.0
501-600,Isfahan University of Technology,10964,26.5,0.01,39,28.0,18.1,23.0,39.5,99.5,17.2,medium,Iran,Asia,0.0,1.0,66.0,1.0
501-600,Istanbul Technical University,34550,16.0,0.05,34,25.0,19.2,25.8,26.5,72.1,22.9,large,Turkey,Asia,0.0,2.0,94.0,1.0
501-600,Jadavpur University,10697,16.1,0.13,30,27.5,32.8,22.2,31.8,33.8,7.7,medium,India,Asia,0.0,1.0,64.0,1.0
501-600,Kanazawa University,10546,10.4,0.05,36,24.6,24.7,14.8,35.5,30.4,18.4,medium,Japan,Asia,0.0,1.0,69.0,1.0
501-600,Kansas State University,21379,15.1,0.1,50,28.1,22.9,17.5,39.3,43.1,41.7,large,United States,North America,1.0,2.0,172.0,3.0
501-600,Keio University,33751,11.9,0.05,32,24.0,25.0,17.5,28.5,41.4,22.7,large,Japan,Asia,0.0,2.0,69.0,1.0
501-600,Kent State University,23122,19.0,0.07,58,29.1,18.4,14.2,53.8,28.5,32.4,large,United States,North America,1.0,2.0,172.0,3.0
501-600,King Fahd University of Petroleum and Minerals,6898,7.1,0.19,0,28.1,25.4,16.1,24.4,81.2,84.5,medium,Saudi Arabia,Asia,0.0,1.0,87.0,1.0
501-600,King Saud University,40666,13.4,0.06,49,25.0,20.0,17.5,22.3,57.4,75.5,large,Saudi Arabia,Asia,0.0,2.0,87.0,1.0
501-600,University of La Laguna,22422,14.9,0.05,58,25.6,16.9,10.0,44.8,28.5,44.7,large,Spain,Europe,0.0,2.0,144.0,2.0
501-600,Lappeenranta University of Technology,3486,23.9,0.19,31,28.6,27.1,27.5,20.8,80.3,53.0,small,Finland,Europe,0.0,0.0,115.0,2.0
501-600,University of Limerick,12212,19.8,0.13,46,28.4,19.8,16.3,36.6,34.0,76.5,medium,Ireland,Europe,1.0,1.0,122.0,2.0
501-600,University of Lisbon,47849,17.5,0.09,51,27.4,25.9,18.3,32.4,35.4,46.6,large,Portugal,Europe,0.0,2.0,137.0,2.0
501-600,Liverpool John Moores University,18513,19.8,0.13,52,27.5,16.4,11.6,45.9,28.8,62.1,large,United Kingdom,Europe,1.0,2.0,148.0,2.0
