rank,name,fte_students,students_per_staff,international_students,ratio,overall,teaching,research,citations,industry_income,international_outlook,size,country,continent,english_spoken,size_int,country_int,continent_int
109,University of Western Australia,20851,20.7,0.27,50,57.5,33.4,46.1,83.6,64.5,92.6,large,Australia,Oceania,1.0,2.0,173.0,4.0
110,RWTH Aachen University,37917,27.6,0.16,31,57.2,49.4,56.3,63.2,98.1,54.1,large,Germany,Europe,0.0,2.0,118.0,2.0
110,University of Southampton,20925,13.5,0.29,53,57.2,39.8,43.6,82.0,37.5,88.4,large,United Kingdom,Europe,1.0,2.0,148.0,2.0
112,Scuola Normale Superiore di Pisa,462,16.5,0.05,28,57.1,54.2,53.1,67.2,52.0,46.3,small,Italy,Europe,0.0,0.0,123.0,2.0
113,University of Montreal,38264,20.3,0.25,57,57.0,46.3,45.5,69.6,92.6,84.2,large,Canada,North America,1.0,2.0,154.0,3.0
113,Pierre and Marie Curie University,27862,8.7,0.18,48,57.0,52.8,32.7,82.9,37.4,74.1,large,France,Europe,0.0,2.0,116.0,2.0
113,Purdue University,39256,18.1,0.22,42,57.0,50.2,57.7,63.2,63.0,66.4,large,United States,North America,1.0,2.0,172.0,3.0
116,Pohang University of Science and Technology,3055,10.1,0.04,20,56.9,49.1,47.1,76.7,100.0,33.7,small,South Korea,Asia,0.0,0.0,73.0,1.0
117,University of Maryland,31331,8.4,0.09,48,56.7,45.0,42.1,88.2,32.3,43.5,large,United States,North America,1.0,2.0,172.0,3.0
118,Ghent University,32166,34.1,0.09,57,56.6,42.1,54.5,71.2,88.3,54.2,large,Belgium,Europe,0.0,2.0,106.0,2.0
119,University of Birmingham,25295,16.4,0.23,54,56.2,39.4,41.8,82.7,34.7,82.0,large,United Kingdom,Europe,1.0,2.0,148.0,2.0
120,University of Bern,14708,22.5,0.14,54,56.1,40.0,42.5,76.6,82.9,83.7,medium,Switzerland,Europe,0.0,1.0,146.0,2.0
120,University of Cape Town,20040,12.1,0.18,53,56.1,34.9,38.7,85.6,92.7,80.2,large,South Africa,Africa,0.0,2.0,44.0,0.0
120,University of Florida,50095,18.7,0.09,54,56.1,51.8,56.8,67.7,73.2,33.3,large,United States,North America,1.0,2.0,172.0,3.0
123,University of Erlangen-Nuremberg,36146,53.9,0.09,49,56.0,51.7,39.7,75.2,99.4,47.0,large,Germany,Europe,0.0,2.0,118.0,2.0
123,Rutgers the State University of New Jersey,37032,17.3,0.08,51,56.0,43.9,55.7,75.4,35.9,34.7,large,United States,North America,1.0,2.0,172.0,3.0
125,University of Münster,39838,46.1,0.08,53,55.9,40.3,44.1,85.6,58.2,46.3,large,Germany,Europe,0.0,2.0,118.0,2.0
